"행정구역","2008년_남_총인구수","2008년_남_연령구간인구수","2008년_남_0~9세","2008년_남_10~19세","2008년_남_20~29세","2008년_남_30~39세","2008년_남_40~49세","2008년_남_50~59세","2008년_남_60~69세","2008년_남_70~79세","2008년_남_80~89세","2008년_남_90~99세","2008년_남_100세 이상","2008년_여_총인구수","2008년_여_연령구간인구수","2008년_여_0~9세","2008년_여_10~19세","2008년_여_20~29세","2008년_여_30~39세","2008년_여_40~49세","2008년_여_50~59세","2008년_여_60~69세","2008년_여_70~79세","2008년_여_80~89세","2008년_여_90~99세","2008년_여_100세 이상","2009년_남_총인구수","2009년_남_연령구간인구수","2009년_남_0~9세","2009년_남_10~19세","2009년_남_20~29세","2009년_남_30~39세","2009년_남_40~49세","2009년_남_50~59세","2009년_남_60~69세","2009년_남_70~79세","2009년_남_80~89세","2009년_남_90~99세","2009년_남_100세 이상","2009년_여_총인구수","2009년_여_연령구간인구수","2009년_여_0~9세","2009년_여_10~19세","2009년_여_20~29세","2009년_여_30~39세","2009년_여_40~49세","2009년_여_50~59세","2009년_여_60~69세","2009년_여_70~79세","2009년_여_80~89세","2009년_여_90~99세","2009년_여_100세 이상","2010년_남_총인구수","2010년_남_연령구간인구수","2010년_남_0~9세","2010년_남_10~19세","2010년_남_20~29세","2010년_남_30~39세","2010년_남_40~49세","2010년_남_50~59세","2010년_남_60~69세","2010년_남_70~79세","2010년_남_80~89세","2010년_남_90~99세","2010년_남_100세 이상","2010년_여_총인구수","2010년_여_연령구간인구수","2010년_여_0~9세","2010년_여_10~19세","2010년_여_20~29세","2010년_여_30~39세","2010년_여_40~49세","2010년_여_50~59세","2010년_여_60~69세","2010년_여_70~79세","2010년_여_80~89세","2010년_여_90~99세","2010년_여_100세 이상","2011년_남_총인구수","2011년_남_연령구간인구수","2011년_남_0~9세","2011년_남_10~19세","2011년_남_20~29세","2011년_남_30~39세","2011년_남_40~49세","2011년_남_50~59세","2011년_남_60~69세","2011년_남_70~79세","2011년_남_80~89세","2011년_남_90~99세","2011년_남_100세 이상","2011년_여_총인구수","2011년_여_연령구간인구수","2011년_여_0~9세","2011년_여_10~19세","2011년_여_20~29세","2011년_여_30~39세","2011년_여_40~49세","2011년_여_50~59세","2011년_여_60~69세","2011년_여_70~79세","2011년_여_80~89세","2011년_여_90~99세","2011년_여_100세 이상","2012년_남_총인구수","2012년_남_연령구간인구수","2012년_남_0~9세","2012년_남_10~19세","2012년_남_20~29세","2012년_남_30~39세","2012년_남_40~49세","2012년_남_50~59세","2012년_남_60~69세","2012년_남_70~79세","2012년_남_80~89세","2012년_남_90~99세","2012년_남_100세 이상","2012년_여_총인구수","2012년_여_연령구간인구수","2012년_여_0~9세","2012년_여_10~19세","2012년_여_20~29세","2012년_여_30~39세","2012년_여_40~49세","2012년_여_50~59세","2012년_여_60~69세","2012년_여_70~79세","2012년_여_80~89세","2012년_여_90~99세","2012년_여_100세 이상","2013년_남_총인구수","2013년_남_연령구간인구수","2013년_남_0~9세","2013년_남_10~19세","2013년_남_20~29세","2013년_남_30~39세","2013년_남_40~49세","2013년_남_50~59세","2013년_남_60~69세","2013년_남_70~79세","2013년_남_80~89세","2013년_남_90~99세","2013년_남_100세 이상","2013년_여_총인구수","2013년_여_연령구간인구수","2013년_여_0~9세","2013년_여_10~19세","2013년_여_20~29세","2013년_여_30~39세","2013년_여_40~49세","2013년_여_50~59세","2013년_여_60~69세","2013년_여_70~79세","2013년_여_80~89세","2013년_여_90~99세","2013년_여_100세 이상"
"전국  (0000000000)","24,822,897","24,822,897","2,647,788","3,608,254","3,727,944","4,320,946","4,410,221","3,078,799","1,869,267","925,456","216,374","17,593","255","24,717,470","24,717,470","2,449,075","3,216,668","3,497,694","4,149,348","4,261,627","3,061,774","2,095,529","1,407,586","509,790","66,299","2,080","24,929,939","24,929,939","2,553,592","3,599,148","3,636,509","4,269,498","4,439,164","3,261,648","1,920,187","997,027","233,278","19,527","361","24,843,206","24,843,206","2,369,377","3,212,502","3,391,753","4,102,035","4,290,331","3,246,429","2,127,305","1,480,410","549,727","71,099","2,238","25,310,385","25,310,385","2,463,577","3,598,726","3,565,624","4,272,740","4,513,652","3,543,441","1,999,523","1,070,720","253,899","25,765","2,718","25,205,281","25,205,281","2,293,947","3,228,149","3,301,332","4,097,809","4,330,700","3,523,382","2,191,806","1,547,805","597,869","84,070","8,412","25,406,934","25,406,934","2,417,495","3,518,211","3,500,429","4,211,610","4,518,589","3,774,255","2,019,901","1,147,046","269,527","27,219","2,652","25,327,350","25,327,350","2,258,354","3,162,914","3,226,987","4,043,176","4,328,094","3,753,891","2,196,971","1,624,130","632,379","91,472","8,982","25,504,060","25,504,060","2,409,323","3,390,332","3,459,480","4,163,684","4,510,316","3,915,566","2,083,585","1,246,286","292,113","30,467","2,908","25,444,212","25,444,212","2,259,388","3,056,947","3,167,468","4,005,259","4,325,842","3,876,004","2,244,951","1,724,057","672,978","101,569","9,749","25,588,336","25,588,336","2,382,889","3,266,603","3,452,206","4,090,696","4,540,768","4,041,105","2,160,116","1,299,453","317,223","34,083","3,194","25,553,127","25,553,127","2,241,045","2,963,112","3,137,323","3,924,718","4,379,193","3,984,151","2,312,440","1,773,347","714,395","112,804","10,599"
"서울특별시  (1100000000)","5,061,809","5,061,809","480,828","669,914","844,653","964,702","852,139","650,194","401,879","159,039","35,212","3,197","52","5,139,018","5,139,018","449,687","604,007","856,600","923,960","869,731","691,710","425,846","222,469","83,254","11,395","359","5,059,269","5,059,269","463,335","661,712","816,567","955,372","856,086","676,233","413,754","174,395","38,116","3,623","76","5,149,033","5,149,033","434,781","597,759","824,963","921,893","868,851","722,433","440,408","236,046","89,333","12,171","395","5,111,259","5,111,259","442,791","654,288","788,804","950,258","876,076","723,834","432,585","193,103","42,895","5,651","974","5,201,286","5,201,286","416,730","593,701","794,880","919,189","873,472","773,855","462,579","250,996","97,554","15,781","2,549","5,073,899","5,073,899","430,395","630,552","762,432","928,074","875,411","754,039","430,769","210,482","45,079","5,772","894","5,175,780","5,175,780","406,253","572,965","767,387","903,868","869,179","806,055","463,569","265,552","101,430","16,830","2,692","5,041,336","5,041,336","424,685","599,453","742,981","910,258","870,688","763,881","438,938","234,147","48,952","6,357","996","5,153,982","5,153,982","401,302","547,056","745,963","891,984","865,091","812,455","476,794","285,892","106,184","18,331","2,930","5,007,869","5,007,869","415,562","570,811","729,035","889,687","869,875","773,936","449,784","247,857","53,093","7,136","1,093","5,135,776","5,135,776","393,175","524,999","730,808","873,764","869,078","819,869","491,151","298,592","111,215","19,952","3,173"
"부산광역시  (2600000000)","1,773,154","1,773,154","153,939","250,231","282,949","278,418","305,539","266,497","158,167","64,355","12,275","779","5","1,791,423","1,791,423","141,646","215,324","264,561","271,272","320,490","275,092","169,484","96,382","33,564","3,496","112","1,761,202","1,761,202","146,683","244,690","271,470","274,548","300,525","274,985","163,497","70,306","13,610","877","11","1,781,828","1,781,828","135,877","210,239","251,751","266,900","314,132","285,993","174,709","102,212","36,201","3,693","121","1,773,170","1,773,170","140,070","239,845","260,635","275,735","299,971","292,193","170,634","77,366","15,175","1,313","233","1,794,740","1,794,740","130,540","207,261","239,877","266,729","309,537","305,681","181,561","108,593","39,366","4,785","810","1,762,848","1,762,848","136,836","229,974","250,784","273,404","294,206","301,972","173,833","83,879","16,379","1,353","228","1,788,115","1,788,115","128,486","199,526","229,798","263,171","301,147","318,324","185,121","114,809","41,631","5,252","850","1,754,479","1,754,479","136,820","217,185","244,624","269,708","288,954","305,555","179,589","92,115","18,090","1,583","256","1,784,005","1,784,005","128,614","190,137","222,150","259,650","294,615","323,366","191,761","122,702","44,292","5,791","927","1,747,000","1,747,000","135,772","205,602","241,483","264,277","287,582","307,461","184,791","98,108","19,868","1,775","281","1,780,635","1,780,635","128,153","181,903","217,159","253,782","293,227","325,090","198,877","128,165","46,873","6,388","1,018"
"대구광역시  (2700000000)","1,246,873","1,246,873","128,282","201,741","190,798","202,082","225,694","158,210","89,294","41,694","8,512","554","12","1,245,851","1,245,851","115,407","166,015","172,417","205,913","231,211","163,136","103,559","64,243","21,383","2,493","74","1,243,878","1,243,878","122,461","198,747","186,090","197,688","224,441","166,867","92,401","45,344","9,211","617","11","1,245,903","1,245,903","110,729","164,889","165,498","201,695","230,537","172,740","105,853","68,410","22,776","2,692","84","1,255,245","1,255,245","116,610","196,182","182,495","196,274","227,600","179,572","96,714","48,862","10,040","817","79","1,256,431","1,256,431","105,817","165,319","158,861","199,206","232,049","185,464","109,407","72,056","24,823","3,154","275","1,251,577","1,251,577","113,073","189,600","179,130","191,886","224,925","189,763","98,875","52,490","10,894","860","81","1,255,694","1,255,694","103,241","161,552","153,247","194,748","229,571","196,102","110,977","75,997","26,525","3,441","293","1,249,320","1,249,320","111,689","180,838","177,562","187,709","222,197","196,225","102,519","57,272","12,248","978","83","1,256,324","1,256,324","103,154","155,530","148,411","190,585","227,979","201,895","115,024","80,959","28,683","3,770","334","1,246,071","1,246,071","109,325","172,579","176,950","183,051","221,855","200,992","106,301","60,330","13,491","1,097","100","1,255,517","1,255,517","101,780","150,166","145,597","184,468","228,889","206,010","118,968","84,430","30,714","4,135","360"
"인천광역시  (2800000000)","1,356,473","1,356,473","146,064","206,337","207,510","238,795","260,097","164,499","85,098","37,856","9,385","822","10","1,336,223","1,336,223","135,946","189,330","195,117","230,156","251,399","155,646","93,229","60,331","22,247","2,740","82","1,364,809","1,364,809","141,013","205,211","203,364","237,071","259,668","177,446","89,029","40,962","10,086","935","24","1,345,770","1,345,770","131,828","187,148","191,723","226,892","253,414","168,359","95,834","63,296","24,199","2,989","88","1,390,356","1,390,356","135,905","204,122","201,300","238,319","263,009","196,979","94,300","44,088","10,951","1,266","117","1,367,940","1,367,940","127,836","186,815","188,783","226,536","255,735","186,396","99,342","65,991","26,611","3,596","299","1,410,980","1,410,980","136,199","199,121","200,521","240,215","262,663","214,723","96,420","47,952","11,643","1,403","120","1,390,294","1,390,294","128,489","182,395","187,966","227,951","256,312","204,282","100,544","69,737","28,281","3,998","339","1,431,593","1,431,593","138,575","191,727","201,608","241,547","262,200","226,633","102,147","52,938","12,539","1,547","132","1,412,388","1,412,388","130,912","175,519","188,570","229,544","256,086","216,823","104,886","74,673","30,487","4,508","380","1,448,835","1,448,835","138,719","184,426","204,026","241,332","263,751","237,337","107,425","56,365","13,517","1,788","149","1,430,947","1,430,947","131,289","169,763","189,543","228,242","259,171","227,484","110,081","77,465","32,437","5,046","426"
"광주광역시  (2900000000)","705,817","705,817","86,287","119,515","109,374","121,454","120,486","76,151","46,633","20,789","4,782","340","6","716,885","716,885","79,439","109,359","106,451","121,808","121,270","79,760","52,347","32,369","12,231","1,791","60","711,091","711,091","83,426","120,595","106,793","121,172","121,742","80,661","48,520","22,416","5,379","381","6","722,549","722,549","76,916","110,187","102,970","122,237","122,191","84,372","54,393","34,032","13,249","1,931","71","721,780","721,780","80,187","121,776","104,898","121,488","124,386","87,816","50,732","24,180","5,850","431","36","732,856","732,856","74,154","111,558","99,999","122,315","124,030","91,682","56,676","35,568","14,428","2,221","225","725,606","725,606","78,296","120,014","103,088","120,445","126,078","93,046","51,717","26,264","6,160","467","31","737,858","737,858","72,517","110,148","97,955","121,224","125,771","97,081","57,468","37,983","15,097","2,383","231","728,406","728,406","77,602","116,126","101,787","119,434","127,202","96,951","52,742","29,355","6,635","538","34","740,810","740,810","72,042","106,753","95,795","119,874","127,278","100,761","58,534","40,986","15,925","2,629","233","730,216","730,216","76,023","112,510","101,568","117,598","128,190","101,418","54,412","30,700","7,154","612","31","742,694","742,694","70,952","103,563","94,822","117,247","128,963","104,783","60,413","42,027","16,731","2,954","239"
"대전광역시  (3000000000)","741,611","741,611","85,737","118,337","115,894","129,764","130,139","88,022","46,494","21,435","5,331","453","5","739,284","739,284","79,448","104,699","110,352","129,987","130,941","86,702","50,962","32,605","11,959","1,583","46","743,121","743,121","82,380","117,622","113,206","127,410","131,284","93,346","48,464","23,255","5,647","498","9","741,059","741,059","76,541","104,644","106,376","127,128","132,331","92,771","52,262","34,430","12,814","1,703","59","753,648","753,648","79,714","117,150","111,680","127,647","133,411","101,143","51,390","24,773","6,071","630","39","750,016","750,016","74,008","105,152","103,304","127,285","132,925","100,808","54,782","35,745","13,954","1,915","138","759,188","759,188","78,704","114,756","110,297","126,585","133,873","108,469","52,484","26,821","6,481","674","44","756,415","756,415","73,498","103,092","101,569","126,199","133,065","108,559","55,551","37,733","14,879","2,100","170","763,671","763,671","78,652","111,055","109,571","125,466","133,809","113,227","54,554","29,533","6,988","766","50","760,912","760,912","73,612","99,773","99,874","125,245","133,047","113,311","57,257","40,395","15,919","2,304","175","767,309","767,309","78,030","107,259","109,820","123,249","136,066","116,249","57,145","30,952","7,649","837","53","765,502","765,502","73,359","97,262","98,931","122,704","135,924","116,505","59,405","41,704","16,905","2,621","182"
"울산광역시  (3100000000)","572,815","572,815","65,341","96,462","86,015","96,799","112,192","70,616","31,398","11,533","2,282","177","0","539,592","539,592","58,487","80,825","74,312","96,105","105,843","64,847","31,640","19,056","7,579","882","16","573,607","573,607","62,367","95,536","84,136","94,990","112,018","75,969","33,286","12,686","2,438","181","0","541,259","541,259","56,150","80,228","72,287","93,537","106,986","70,187","32,891","19,966","8,026","980","21","579,071","579,071","59,817","94,723","82,202","94,854","112,098","82,768","35,777","13,900","2,675","242","15","547,227","547,227","54,019","80,198","70,230","92,268","107,728","77,212","34,731","21,078","8,587","1,096","80","583,825","583,825","58,823","91,716","82,184","94,861","111,113","89,162","37,707","15,158","2,824","265","12","551,669","551,669","53,597","77,849","69,335","90,805","107,568","83,588","36,354","22,178","9,135","1,185","75","590,424","590,424","59,269","87,500","83,403","95,689","109,774","94,207","40,201","16,956","3,141","270","14","556,832","556,832","54,378","75,010","68,379","90,540","107,327","87,936","38,439","23,816","9,585","1,334","88","595,319","595,319","59,005","83,468","84,854","95,661","109,557","97,773","42,926","18,257","3,512","289","17","561,161","561,161","54,731","72,187","68,310","89,272","108,020","91,241","40,999","24,740","10,090","1,479","92"
"세종특별자치시  (3600000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57,633","57,633","6,060","6,693","6,967","9,616","9,825","8,687","4,917","3,737","1,013","102","16","55,484","55,484","5,972","6,034","5,860","8,696","7,968","7,833","5,331","5,177","2,257","333","23","62,205","62,205","6,754","7,053","7,500","10,120","11,109","9,404","5,185","3,854","1,089","120","17","59,948","59,948","6,606","6,487","6,384","9,474","9,000","8,349","5,546","5,252","2,453","374","23"
"경기도  (4100000000)","5,690,673","5,690,673","687,066","853,402","808,244","1,069,026","1,079,916","631,839","346,583","170,939","40,151","3,457","50","5,601,591","5,601,591","642,024","780,732","779,460","1,048,993","1,007,296","597,684","391,007","252,292","90,074","11,674","355","5,773,569","5,773,569","668,710","863,173","800,560","1,059,189","1,100,203","689,154","359,518","185,246","43,796","3,946","74","5,687,041","5,687,041","626,224","789,453","766,446","1,039,256","1,036,628","650,293","400,020","267,305","98,234","12,794","388","5,942,454","5,942,454","654,879","876,952","804,223","1,069,426","1,131,893","772,089","378,326","200,682","48,143","5,286","555","5,844,168","5,844,168","615,018","804,074","763,750","1,045,613","1,066,989","725,704","416,077","282,481","107,741","15,287","1,434","6,015,357","6,015,357","646,679","866,001","801,349","1,055,700","1,144,400","842,919","383,846","216,786","51,408","5,699","570","5,922,058","5,922,058","608,489","794,147","757,537","1,032,755","1,083,490","794,420","418,284","299,800","114,776","16,815","1,545","6,091,035","6,091,035","647,593","844,026","805,410","1,046,376","1,151,541","892,087","404,713","236,283","55,939","6,454","613","6,002,264","6,002,264","610,982","775,124","756,690","1,024,695","1,097,929","839,328","433,966","320,316","122,666","18,882","1,686","6,159,193","6,159,193","643,472","822,772","815,313","1,031,620","1,166,161","936,367","426,174","248,157","61,195","7,297","665","6,075,437","6,075,437","608,104","758,030","760,826","1,007,387","1,122,771","880,206","451,742","332,228","131,188","21,098","1,857"
