,car_id,speed,latitude,longitude,timestamp
0,8,13.32,54.970079,141.936435,1735623364.5145767
1,27,114.99,31.131151,-8.037699,1735623365.518531
2,41,2.99,-73.774762,76.743888,1735623366.5201678
3,16,8.55,70.776475,83.364773,1735623367.522176
4,92,67.57,-84.135631,176.060408,1735623368.524454
5,76,25.46,-22.239521,31.649095,1735623369.5276172
6,20,8.11,-80.24037,91.508494,1735623370.5300596
7,46,129.2,55.559663,54.152171,1735623371.5347462
8,22,44.3,-8.359117,-92.040551,1735623372.5382571
9,58,142.94,70.847625,-22.849715,1735623373.5408816
10,38,18.38,30.852368,-26.657744,1735623374.545431
11,38,47.4,87.319923,-25.8947,1735623375.5490472
12,85,144.97,-58.741103,63.177708,1735623376.5514345
13,73,98.21,-4.612929,11.461964,1735623377.5537462
14,63,144.03,41.342914,106.331245,1735623378.5559223
15,31,68.97,-22.518543,41.127434,1735623379.5585086
16,38,111.19,33.946979,-173.621719,1735623380.560752
17,100,65.06,51.132433,145.108714,1735623381.5632136
18,74,75.06,88.221444,-72.934223,1735623382.5669854
19,19,133.58,18.646781,142.078328,1735623383.5691557
20,88,72.31,59.735758,74.481443,1735623384.571693
21,45,135.01,-63.618847,-1.961161,1735623385.5483782
22,2,125.89,-17.671973,43.984073,1735623386.5512834
23,53,128.96,-2.459068,-47.815568,1735623387.5534506
24,98,89.77,77.305306,62.475421,1735623388.5551
25,69,16.6,45.260825,-94.160196,1735623389.5570896
26,96,21.77,-44.712495,28.063297,1735623390.5591545
27,4,31.06,-50.700325,-80.357721,1735623391.5623837
28,26,1.7,-42.97264,66.900912,1735623392.5652475
29,50,140.25,-83.511992,64.316508,1735623393.5675359
30,57,60.93,-66.34029,100.30507,1735623394.5726767
31,90,64.71,-63.373952,83.59944,1735623395.5750806
32,79,63.04,-57.454032,-50.554857,1735623396.5766327
33,56,16.73,-34.604985,110.615936,1735623397.579246
34,16,110.79,34.45991,-37.229603,1735623398.5820713
35,82,93.25,26.200605,-15.900921,1735623399.5869968
36,97,71.82,-86.803266,-103.64299,1735623400.5891323
37,63,102.7,-53.777552,68.976538,1735623401.5933442
38,21,64.76,32.846502,-108.659329,1735623402.597168
39,15,108.25,36.875535,159.897994,1735623403.601672
40,90,80.21,41.132894,-22.274388,1735623404.6068711
41,57,80.1,-27.202459,85.075043,1735623405.6099784
42,6,135.7,-23.632925,104.124941,1735623406.6119664
43,61,78.47,-12.377071,-46.705512,1735623407.6135554
44,29,57.88,-89.783156,3.249216,1735623408.6158848
45,10,87.81,-74.94288,-47.814696,1735623409.6195402
46,39,34.32,8.537796,179.79956,1735623410.6218367
47,45,128.82,-48.809238,-116.007954,1735623411.6256154
48,2,14.87,72.033382,-127.479969,1735623412.6277966
49,78,108.73,-1.590439,13.667443,1735623413.631336
50,14,32.78,35.857039,-8.299124,1735623414.634927
51,81,68.3,-4.256613,-104.760648,1735623415.6050415
52,59,110.4,-24.788852,-61.558092,1735623416.6057918
53,53,145.47,39.90649,82.329993,1735623417.6083071
54,99,89.05,2.464724,152.99558,1735623418.6116562
55,97,80.89,9.926339,-24.049592,1735623419.614021
56,22,138.71,-36.828309,-147.861546,1735623420.6161807
57,86,102.66,-74.81157,62.120454,1735623421.61828
58,88,92.66,-5.391589,147.277075,1735623422.6219037
59,58,51.61,25.781029,164.624742,1735623423.6259282
